GEO_ID,ZIP_CODE_TABULATION_AREA,NAME,TOTAL_POPULATION_ESTIMATE,TRINIDADIAN_TOBAGONIAN_ESTIMATE,TRINIDADIAN_TOBAGONIAN_MOE,PERCENT_TRINIDADIAN_TOBAGONIAN
860Z200US00601,00601,ZCTA5 00601,16669,0,24,0.000000
860Z200US00602,00602,ZCTA5 00602,37233,0,33,0.000000
860Z200US00603,00603,ZCTA5 00603,48448,0,33,0.000000
860Z200US00606,00606,ZCTA5 00606,5163,0,22,0.000000
860Z200US00610,00610,ZCTA5 00610,25357,0,29,0.000000
860Z200US00611,00611,ZCTA5 00611,1383,0,15,0.000000
860Z200US00612,00612,ZCTA5 00612,62908,0,36,0.000000
860Z200US00616,00616,ZCTA5 00616,9717,0,22,0.000000
860Z200US00617,00617,ZCTA5 00617,22584,0,29,0.000000
860Z200US00622,00622,ZCTA5 00622,7664,0,22,0.000000
860Z200US00623,00623,ZCTA5 00623,39212,0,33,0.000000
860Z200US00624,00624,ZCTA5 00624,21148,0,29,0.000000
860Z200US00627,00627,ZCTA5 00627,32734,0,33,0.000000
860Z200US00631,00631,ZCTA5 00631,1321,0,15,0.000000
860Z200US00636,00636,ZCTA5 00636,968,0,15,0.000000
860Z200US00637,00637,ZCTA5 00637,22909,0,29,0.000000
860Z200US00638,00638,ZCTA5 00638,17319,0,24,0.000000
860Z200US00641,00641,ZCTA5 00641,23831,0,29,0.000000
860Z200US00646,00646,ZCTA5 00646,35998,0,33,0.000000
860Z200US00647,00647,ZCTA5 00647,4369,0,15,0.000000
860Z200US00650,00650,ZCTA5 00650,13200,0,24,0.000000
860Z200US00652,00652,ZCTA5 00652,4504,0,15,0.000000
860Z200US00653,00653,ZCTA5 00653,8495,0,22,0.000000
860Z200US00656,00656,ZCTA5 00656,17398,0,24,0.000000
860Z200US00659,00659,ZCTA5 00659,37327,0,33,0.000000
860Z200US00660,00660,ZCTA5 00660,15405,0,24,0.000000
860Z200US00662,00662,ZCTA5 00662,41090,0,33,0.000000
860Z200US00664,00664,ZCTA5 00664,14807,0,24,0.000000
860Z200US00667,00667,ZCTA5 00667,22792,0,29,0.000000
860Z200US00669,00669,ZCTA5 00669,27417,0,29,0.000000
860Z200US00670,00670,ZCTA5 00670,8512,0,22,0.000000
860Z200US00674,00674,ZCTA5 00674,39093,0,33,0.000000
860Z200US00676,00676,ZCTA5 00676,36972,0,33,0.000000
860Z200US00677,00677,ZCTA5 00677,15483,0,24,0.000000
860Z200US00678,00678,ZCTA5 00678,24595,0,29,0.000000
860Z200US00680,00680,ZCTA5 00680,42689,0,33,0.000000
860Z200US00682,00682,ZCTA5 00682,28977,0,29,0.000000
860Z200US00683,00683,ZCTA5 00683,29490,0,29,0.000000
860Z200US00685,00685,ZCTA5 00685,39988,0,33,0.000000
