GEO_ID,ZIP_CODE_TABULATION_AREA,NAME,TOTAL_POPULATION_ESTIMATE,TRINIDADIAN_TOBAGONIAN_ESTIMATE,TRINIDADIAN_TOBAGONIAN_MOE,PERCENT_TRINIDADIAN_TOBAGONIAN,LAT,LON
860Z200US00601,00601,ZCTA5 00601,16669,0,24,0.000000,18.180555,-66.749961
860Z200US00602,00602,ZCTA5 00602,37233,0,33,0.000000,18.361945,-67.175597
860Z200US00603,00603,ZCTA5 00603,48448,0,33,0.000000,18.457399,-67.124867
860Z200US00606,00606,ZCTA5 00606,5163,0,22,0.000000,18.158327,-66.932928
860Z200US00610,00610,ZCTA5 00610,25357,0,29,0.000000,18.295304,-67.12518
860Z200US00611,00611,ZCTA5 00611,1383,0,15,0.000000,18.276316,-66.807165
860Z200US00612,00612,ZCTA5 00612,62908,0,36,0.000000,18.416727,-66.70009
860Z200US00616,00616,ZCTA5 00616,9717,0,22,0.000000,18.420408,-66.671986
860Z200US00617,00617,ZCTA5 00617,22584,0,29,0.000000,18.446889,-66.561154
860Z200US00622,00622,ZCTA5 00622,7664,0,22,0.000000,17.988103,-67.160357
860Z200US00623,00623,ZCTA5 00623,39212,0,33,0.000000,18.084371,-67.158765
860Z200US00624,00624,ZCTA5 00624,21148,0,29,0.000000,18.051808,-66.721711
860Z200US00627,00627,ZCTA5 00627,32734,0,33,0.000000,18.412423,-66.863708
860Z200US00631,00631,ZCTA5 00631,1321,0,15,0.000000,18.184294,-66.830795
860Z200US00636,00636,ZCTA5 00636,968,0,15,0.000000,18.1636,-67.080097
860Z200US00637,00637,ZCTA5 00637,22909,0,29,0.000000,18.080103,-66.947975
860Z200US00638,00638,ZCTA5 00638,17319,0,24,0.000000,18.280188,-66.513111
860Z200US00641,00641,ZCTA5 00641,23831,0,29,0.000000,18.268074,-66.701785
860Z200US00646,00646,ZCTA5 00646,35998,0,33,0.000000,18.432897,-66.286499
860Z200US00647,00647,ZCTA5 00647,4369,0,15,0.000000,17.963613,-66.947127
860Z200US00650,00650,ZCTA5 00650,13200,0,24,0.000000,18.349209,-66.578112
860Z200US00652,00652,ZCTA5 00652,4504,0,15,0.000000,18.448446,-66.594111
860Z200US00653,00653,ZCTA5 00653,8495,0,22,0.000000,17.988642,-66.90169
860Z200US00656,00656,ZCTA5 00656,17398,0,24,0.000000,18.040467,-66.78968
860Z200US00659,00659,ZCTA5 00659,37327,0,33,0.000000,18.407304,-66.808995
860Z200US00660,00660,ZCTA5 00660,15405,0,24,0.000000,18.134695,-67.116199
860Z200US00662,00662,ZCTA5 00662,41090,0,33,0.000000,18.468301,-67.015749
860Z200US00664,00664,ZCTA5 00664,14807,0,24,0.000000,18.21033,-66.591616
860Z200US00667,00667,ZCTA5 00667,22792,0,29,0.000000,18.003422,-67.03581
860Z200US00669,00669,ZCTA5 00669,27417,0,29,0.000000,18.276925,-66.869587
860Z200US00670,00670,ZCTA5 00670,8512,0,22,0.000000,18.233585,-66.987585
860Z200US00674,00674,ZCTA5 00674,39093,0,33,0.000000,18.424145,-66.487895
860Z200US00676,00676,ZCTA5 00676,36972,0,33,0.000000,18.381597,-67.080884
860Z200US00677,00677,ZCTA5 00677,15483,0,24,0.000000,18.332568,-67.227022
860Z200US00678,00678,ZCTA5 00678,24595,0,29,0.000000,18.430503,-66.930479
860Z200US00680,00680,ZCTA5 00680,42689,0,33,0.000000,18.183493,-67.133054
860Z200US00682,00682,ZCTA5 00682,28977,0,29,0.000000,18.224864,-67.153891
860Z200US00683,00683,ZCTA5 00683,29490,0,29,0.000000,18.1078,-67.037263
860Z200US00685,00685,ZCTA5 00685,39988,0,33,0.000000,18.336887,-66.972929
860Z200US00687,00687,ZCTA5 00687,28397,0,29,0.000000,18.318017,-66.420392
860Z200US00688,00688,ZCTA5 00688,10028,0,24,0.000000,18.382305,-66.626393
860Z200US00690,00690,ZCTA5 00690,5870,0,22,0.000000,18.493543,-67.096915
860Z200US00692,00692,ZCTA5 00692,32802,0,33,0.000000,18.410652,-66.336202
860Z200US00693,00693,ZCTA5 00693,55387,25,39,0.045137,18.425961,-66.398098
860Z200US00694,00694,ZCTA5 00694,125,0,15,0.000000,18.483127,-66.39236
860Z200US00698,00698,ZCTA5 00698,32535,0,33,0.000000,18.072916,-66.85119
860Z200US00703,00703,ZCTA5 00703,24263,0,29,0.000000,18.248401,-66.130662
860Z200US00704,00704,ZCTA5 00704,6256,0,22,0.000000,17.973168,-66.229011
860Z200US00705,00705,ZCTA5 00705,24471,0,29,0.000000,18.12896,-66.266691
860Z200US00707,00707,ZCTA5 00707,10319,0,24,0.000000,18.014055,-65.920751
860Z200US00714,00714,ZCTA5 00714,15341,0,24,0.000000,17.995867,-66.055529
860Z200US00715,00715,ZCTA5 00715,2082,0,15,0.000000,17.990485,-66.566143
860Z200US00716,00716,ZCTA5 00716,27945,0,29,0.000000,17.985014,-66.606721
860Z200US00717,00717,ZCTA5 00717,14577,0,24,0.000000,18.002639,-66.611087
